Search__ID,Search_Type,PMID,PUB_YEAR,PROJECT_NUMBER,FY_Start,FY_Last,APY,ACTUAL_PROJECT_YEAR,APY_COST_inf2018,Activity_Code,Institute_Code,Acronym_institute_name,full_institute_name,Compressed Names,Project_Count
CYP17A1,target,21646391,2011,D43TW000668,1999,2010,2010,2010D43TW000668,263244,D43,TW,FIC,Fogarty International Center,Fogarty International Center,1
CYP17A1,target,24001895,2013,R01TW008288,2009,2011,2011,2011R01TW008288,62590,R01,TW,FIC,Fogarty International Center,Fogarty International Center,1
CYP17A1,target,28105631,2017,R24TW008861,2010,2014,2014,2014R24TW008861,562542,R24,TW,FIC,Fogarty International Center,Fogarty International Center,1
CYP17A1,target,25249183,2015,D43TW009107,2012,2016,2015,2015D43TW009107,247801,D43,TW,FIC,Fogarty International Center,Fogarty International Center,1
CYP17A1,target,18373954,2008,G12RR003032,1999,2011,2008,2008G12RR003032,3174255,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
CYP17A1,target,14711555,2004,M01RR000032,1999,2008,2004,2004M01RR000032,5986957,M01,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
CYP17A1,target,14744739,2004,M01RR000037,1999,2007,2004,2004M01RR000037,8117799,M01,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
CYP17A1,target,15878919,2005,M01RR000039,1999,2007,2005,2005M01RR000039,3295681,M01,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
CYP17A1,target,12215320,2002,M01RR000084,1999,2006,2002,2002M01RR000084,1706728,M01,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
CYP17A1,target,19074003,2009,M01RR000425,1999,2011,2009,2009M01RR000425,10430150,M01,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
CYP17A1,target,11549704,2001,M01RR001066,1999,2008,2001,2001M01RR001066,6332490,M01,RR,NCRR,National Center for Research Resources,National Center for Research Resources,3
CYP17A1,target,15181062,2004,M01RR001271,1999,2006,2004,2004M01RR001271,6069681,M01,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
CYP17A1,target,11549704,2001,M01RR002172,1999,2008,2001,2001M01RR002172,3483252,M01,RR,NCRR,National Center for Research Resources,National Center for Research Resources,3
CYP17A1,target,18373954,2008,P20RR011792,1999,2009,2008,2008P20RR011792,2805961,P20,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
CYP17A1,target,21683476,2012,P51RR000163,1999,2011,2011,2011P51RR000163,16442830,P51,RR,NCRR,National Center for Research Resources,National Center for Research Resources,3
CYP17A1,target,21646391,2011,P51RR000163,1999,2011,2011,2011P51RR000163,16442830,P51,RR,NCRR,National Center for Research Resources,National Center for Research Resources,3
CYP17A1,target,18519708,2008,P51RR000163,1999,2011,2008,2008P51RR000163,17326587,P51,RR,NCRR,National Center for Research Resources,National Center for Research Resources,5
CYP17A1,target,10611255,2000,P51RR000163,1999,2011,2000,2000P51RR000163,17871223,P51,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
CYP17A1,target,24576611,2014,P51RR000165,1999,2011,2011,2011P51RR000165,13358038,P51,RR,NCRR,National Center for Research Resources,National Center for Research Resources,3
CYP17A1,target,19474057,2009,P51RR000167,1999,2011,2009,2009P51RR000167,15501122,P51,RR,NCRR,National Center for Research Resources,National Center for Research Resources,5
CYP17A1,target,17222503,2007,P51RR000167,1999,2011,2007,2007P51RR000167,11911276,P51,RR,NCRR,National Center for Research Resources,National Center for Research Resources,4
CYP17A1,target,15666821,2004,P51RR000167,1999,2011,2004,2004P51RR000167,15721777,P51,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
CYP17A1,target,15666819,2004,P51RR000167,1999,2011,2004,2004P51RR000167,15721777,P51,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
CYP17A1,target,15459122,2005,P51RR000167,1999,2011,2005,2005P51RR000167,15140612,P51,RR,NCRR,National Center for Research Resources,National Center for Research Resources,3
