APY,ACTUAL_PROJECT_YEAR,APY_COST_inf2018,Search_Type
2014.0,2014P01CA077739,1613263.0,Drug
2011.0,2011P01CA077739,1855031.0,Drug
2019.0,2019P01CA140043,1137415.0,Drug
2020.0,2020P01CA163227,1378794.0,Drug
2019.0,2019P01CA163227,1491852.0,Drug
2017.0,2017P01CA163227,2146515.0,Drug
2016.0,2016P01CA163227,2238400.0,Drug
2015.0,2015P01CA163227,2307177.0,Drug
2014.0,2014P01CA163227,2262361.0,Drug
2003.0,2003P01CA080111,3143488.0,Target_Only
2016.0,2016P01CA087969,2611855.0,Target_Only
2003.0,2003P01CA087969,8333166.0,Target_Only
2001.0,2001P01CA087969,7438641.0,Target_Only
2009.0,2009P01CA089021,2841870.0,Target_Only
2013.0,2013P01CA085859,2253641.0,Target_Only
2016.0,2016P01CA091955,1439436.0,Target_Only
2010.0,2010P01CA090890,1753209.0,Target_Only
2008.0,2008P01CA108964,3737158.0,Target_Only
1999.0,1999P01AG008321,0.0,Target_Only
2004.0,2004P01AG016765,585363.0,Target_Only
2003.0,2003P01ES006198,1582100.0,Target_Only
2003.0,2003P01GM047969,2817706.0,Target_Only
2000.0,2000P01HD006274,2683656.0,Target_Only
2009.0,2009P01HD011149,1958922.0,Target_Only
2008.0,2008P01HD011149,1944820.0,Target_Only
2005.0,2005P01HD011149,2465072.0,Target_Only
2002.0,2002P01HD011149,3043885.0,Target_Only
1999.0,1999P01HD013527,0.0,Target_Only
1999.0,1999P01HD021350,0.0,Target_Only
2010.0,2010P01HD021921,1738012.0,Target_Only
2009.0,2009P01HD031226,2077060.0,Target_Only
2005.0,2005P01HD031226,2578256.0,Target_Only
2012.0,2012P01HD035897,2074830.0,Target_Only
2003.0,2003P01HD038490,1497676.0,Target_Only
2014.0,2014P01HL076491,2020405.0,Target_Only
2011.0,2011P01HL087018,2842142.0,Target_Only
2013.0,2013P01HL088117,2674899.0,Target_Only
2014.0,2014P01HL098055,3223198.0,Target_Only
2018.0,2018P30CA006516,12710222.0,Drug
2017.0,2017P30CA006516,12572620.0,Drug
2020.0,2020P30CA006973,7360142.0,Drug
2018.0,2018P30CA006973,7328078.0,Drug
2017.0,2017P30CA006973,7664829.0,Drug
2016.0,2016P30CA006973,7984055.0,Drug
2013.0,2013P30CA006973,7708211.0,Drug
2014.0,2014P30CA006973,8083066.0,Drug
2012.0,2012P30CA006973,8517117.0,Drug
2011.0,2011P30CA006973,8810449.0,Drug
2009.0,2009P30CA006973,15320265.0,Drug
2020.0,2020P30CA008748,13940024.0,Drug
2019.0,2019P30CA008748,13613870.0,Drug
2018.0,2018P30CA008748,13320025.0,Drug
2017.0,2017P30CA008748,13442482.0,Drug
2016.0,2016P30CA008748,15856394.0,Drug
2015.0,2015P30CA008748,14212182.0,Drug
2014.0,2014P30CA008748,14112088.0,Drug
2013.0,2013P30CA008748,14622526.0,Drug
