Search__ID,Source_Search_Type,Search_Type,PMID,PUB_YEAR,PROJECT_NUMBER,FY_Start,FY_Last,APY,ACTUAL_PROJECT_YEAR,APY_COST_inf2018,Activity_Code,Institute_Code,Acronym_institute_name,full_institute_name,Compressed Names,Project_Count,Grant_Type_Name
abiraterone acetate,Drug,Drug,25336698.0,2014.0,P01CA077739,1999.0,2014.0,2014.0,2014P01CA077739,1613263.0,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,24847527.0,2014.0,P01CA077739,1999.0,2014.0,2014.0,2014P01CA077739,1613263.0,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2.0,Research Program Projects and Centers
CYP17A1,target,Drug,24771515.0,2014.0,P01CA077739,1999.0,2014.0,2014.0,2014P01CA077739,1613263.0,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,21705451.0,2011.0,P01CA077739,1999.0,2014.0,2011.0,2011P01CA077739,1855031.0,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2.0,Research Program Projects and Centers
CYP17A1,target,Drug,21705451.0,2011.0,P01CA077739,1999.0,2014.0,2011.0,2011P01CA077739,1855031.0,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,30098419.0,2019.0,P01CA140043,2010.0,2020.0,2019.0,2019P01CA140043,1137415.0,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,32989253.0,2020.0,P01CA163227,2013.0,2021.0,2020.0,2020P01CA163227,1378794.0,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,30334814.0,2019.0,P01CA163227,2013.0,2021.0,2019.0,2019P01CA163227,1491852.0,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2.0,Research Program Projects and Centers
CYP17A1,target,Drug,30181386.0,2019.0,P01CA163227,2013.0,2021.0,2019.0,2019P01CA163227,1491852.0,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,28663228.0,2017.0,P01CA163227,2013.0,2021.0,2017.0,2017P01CA163227,2146515.0,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,28389510.0,2017.0,P01CA163227,2013.0,2021.0,2017.0,2017P01CA163227,2146515.0,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,27993966.0,2017.0,P01CA163227,2013.0,2021.0,2017.0,2017P01CA163227,2146515.0,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,27531846.0,2017.0,P01CA163227,2013.0,2021.0,2017.0,2017P01CA163227,2146515.0,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2.0,Research Program Projects and Centers
CYP17A1,target,Drug,27683182.0,2017.0,P01CA163227,2013.0,2021.0,2017.0,2017P01CA163227,2146515.0,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,27225130.0,2016.0,P01CA163227,2013.0,2021.0,2016.0,2016P01CA163227,2238400.0,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2.0,Research Program Projects and Centers
