PMID,PUB_DATE,PUB_YEAR
10098844,1999 Apr,1999
10580549,1999 Jun,1999
10460165,1999 Aug 24,1999
10685236,1999 Jun,1999
10344702,1999 Jun,1999
10547365,1999 Nov,1999
10652560,1999 Jul-Aug,1999
10404965,1999 Jul 1,1999
10493855,1999 Sep 10,1999
10229841,1999 May 15,1999
10380885,1999 Jun 17,1999
10598866,1999 Oct 30,1999
10391589,1999 Jun,1999
10463640,1999 Aug 1,1999
10334882,1999 Jun 1,1999
10517961,1999 Sep 4,1999
12884888,1999 Sep,1999
10189557,1999 Apr,1999
10396888,1999 Jun,1999
10098588,1999 Feb,1999
10520196,1999 Nov 1,1999
10489529,1999 Sep 1,1999
10595826,1999 Nov,1999
9931525,1999 Feb,1999
10570905,1999,1999
10562333,1999 Nov 15,1999
10401616,1999 Jun,1999
9892726,1999 Jan,1999
10459160,1999 Oct,1999
10531397,1999 Nov,1999
10448154,1999 Aug,1999
10501573,1999 Jun 3,1999
10490951,1999 Oct 1,1999
