PMID,search_term,search_type
34619509,aspirin,Drug
34619361,aspirin,Drug
34619265,aspirin,Drug
34615450,aspirin,Drug
34613517,aspirin,Drug
34613362,aspirin,Drug
34611892,aspirin,Drug
34611045,aspirin,Drug
34610445,aspirin,Drug
34609028,aspirin,Drug
34607931,aspirin,Drug
34607384,aspirin,Drug
34606309,aspirin,Drug
34606220,aspirin,Drug
34604960,aspirin,Drug
34604694,aspirin,Drug
34604175,aspirin,Drug
34604013,aspirin,Drug
34603188,aspirin,Drug
34602068,aspirin,Drug
34601519,aspirin,Drug
34600549,aspirin,Drug
34600460,aspirin,Drug
34599597,aspirin,Drug
34597850,aspirin,Drug
34597362,aspirin,Drug
34596891,aspirin,Drug
34596307,aspirin,Drug
34594556,aspirin,Drug
34593487,aspirin,Drug
34592942,aspirin,Drug
34591797,aspirin,Drug
34590562,aspirin,Drug
34589424,aspirin,Drug
34587514,aspirin,Drug
34587148,aspirin,Drug
34586561,aspirin,Drug
34585829,aspirin,Drug
34585554,aspirin,Drug
34582035,aspirin,Drug
34581753,aspirin,Drug
34581735,aspirin,Drug
34581730,aspirin,Drug
34581729,aspirin,Drug
34581662,aspirin,Drug
34580271,aspirin,Drug
34579523,aspirin,Drug
34578638,aspirin,Drug
34577854,aspirin,Drug
34577544,aspirin,Drug
34576324,aspirin,Drug
34576024,aspirin,Drug
34575604,aspirin,Drug
34575050,aspirin,Drug
34572268,aspirin,Drug
34572022,aspirin,Drug
34570197,aspirin,Drug
34570167,aspirin,Drug
34570064,aspirin,Drug
34568629,aspirin,Drug
34568543,aspirin,Drug
34568321,aspirin,Drug
34568314,aspirin,Drug
34567243,aspirin,Drug
34565098,aspirin,Drug
34565068,aspirin,Drug
34565058,aspirin,Drug
34563982,aspirin,Drug
34563805,aspirin,Drug
34562999,aspirin,Drug
34562772,aspirin,Drug
34562747,aspirin,Drug
34560645,aspirin,Drug
34558827,aspirin,Drug
34556592,aspirin,Drug
34556323,aspirin,Drug
34555934,aspirin,Drug
34555199,aspirin,Drug
34554870,aspirin,Drug
34554675,aspirin,Drug
34554506,aspirin,Drug
34553368,aspirin,Drug
34553329,aspirin,Drug
34547119,aspirin,Drug
34545701,aspirin,Drug
34545010,aspirin,Drug
34544470,aspirin,Drug
34543652,aspirin,Drug
34540977,aspirin,Drug
34540919,aspirin,Drug
34540909,aspirin,Drug
34540510,aspirin,Drug
34540501,aspirin,Drug
34540500,aspirin,Drug
34540130,aspirin,Drug
34540025,aspirin,Drug
34540014,aspirin,Drug
34539583,aspirin,Drug
34538326,aspirin,Drug
34538296,aspirin,Drug
34538085,aspirin,Drug
34538035,aspirin,Drug
34537546,aspirin,Drug
34537184,aspirin,Drug
34536296,aspirin,Drug
34536234,aspirin,Drug
34535072,aspirin,Drug
34534135,aspirin,Drug
34533211,aspirin,Drug
34533034,aspirin,Drug
34532964,aspirin,Drug
34531365,aspirin,Drug
34530594,aspirin,Drug
34527491,aspirin,Drug
34527092,aspirin,Drug
34526727,aspirin,Drug
34523885,aspirin,Drug
34523827,aspirin,Drug
34519331,aspirin,Drug
34519136,aspirin,Drug
34517768,aspirin,Drug
34515113,aspirin,Drug
34514426,aspirin,Drug
34514327,aspirin,Drug
34510156,aspirin,Drug
34509880,aspirin,Drug
34508711,aspirin,Drug
34508650,aspirin,Drug
34508537,aspirin,Drug
34507550,aspirin,Drug
34506900,aspirin,Drug
34506827,aspirin,Drug
34503688,aspirin,Drug
34503310,aspirin,Drug
34501440,aspirin,Drug
34500461,aspirin,Drug
34500186,aspirin,Drug
34497976,aspirin,Drug
34497668,aspirin,Drug
34496930,aspirin,Drug
34495376,aspirin,Drug
34495235,aspirin,Drug
34494982,aspirin,Drug
34494887,aspirin,Drug
34492567,aspirin,Drug
34490136,aspirin,Drug
34488566,aspirin,Drug
34488536,aspirin,Drug
34488373,aspirin,Drug
34486255,aspirin,Drug
34483913,aspirin,Drug
34483448,aspirin,Drug
34482301,aspirin,Drug
34481444,aspirin,Drug
34480600,aspirin,Drug
34480106,aspirin,Drug
34479029,aspirin,Drug
34478577,aspirin,Drug
34478054,aspirin,Drug
34477839,aspirin,Drug
34477509,aspirin,Drug
34477459,aspirin,Drug
34476758,aspirin,Drug
34475825,aspirin,Drug
34475610,aspirin,Drug
34475463,aspirin,Drug
34473227,aspirin,Drug
34471538,aspirin,Drug
34470570,aspirin,Drug
34469765,aspirin,Drug
34469762,aspirin,Drug
34468944,aspirin,Drug
34466020,aspirin,Drug
34463737,aspirin,Drug
34462368,aspirin,Drug
34461666,aspirin,Drug
34461078,aspirin,Drug
34460327,aspirin,Drug
34460000,aspirin,Drug
34459847,aspirin,Drug
34459843,aspirin,Drug
34459481,aspirin,Drug
34458790,aspirin,Drug
34458557,aspirin,Drug
34458036,aspirin,Drug
34456735,aspirin,Drug
34455688,aspirin,Drug
34455129,aspirin,Drug
34454497,aspirin,Drug
34454240,aspirin,Drug
34453762,aspirin,Drug
34452837,aspirin,Drug
34451882,aspirin,Drug
34449467,aspirin,Drug
34448849,aspirin,Drug
34447821,aspirin,Drug
34447344,aspirin,Drug
34447343,aspirin,Drug
34447048,aspirin,Drug
34446216,aspirin,Drug
34445817,aspirin,Drug
34444428,aspirin,Drug
34443416,aspirin,Drug
34442457,aspirin,Drug
34442371,aspirin,Drug
34441930,aspirin,Drug
34440325,aspirin,Drug
34439758,aspirin,Drug
34439226,aspirin,Drug
34438090,aspirin,Drug
34437841,aspirin,Drug
34437828,aspirin,Drug
34437574,aspirin,Drug
34436759,aspirin,Drug
34436707,aspirin,Drug
34436610,aspirin,Drug
34435480,aspirin,Drug
34434468,aspirin,Drug
34434346,aspirin,Drug
34434254,aspirin,Drug
34433896,aspirin,Drug
34432623,aspirin,Drug
34431147,aspirin,Drug
34430972,aspirin,Drug
34430445,aspirin,Drug
34430440,aspirin,Drug
34430436,aspirin,Drug
34429873,aspirin,Drug
34429584,aspirin,Drug
34429127,aspirin,Drug
34429046,aspirin,Drug
34428833,aspirin,Drug
34428217,aspirin,Drug
34427298,aspirin,Drug
34426567,aspirin,Drug
34426033,aspirin,Drug
34425266,aspirin,Drug
34425254,aspirin,Drug
34425013,aspirin,Drug
34425011,aspirin,Drug
34423649,aspirin,Drug
34423374,aspirin,Drug
34422717,aspirin,Drug
34421386,aspirin,Drug
34419041,aspirin,Drug
34414938,aspirin,Drug
34414307,aspirin,Drug
34414306,aspirin,Drug
34414305,aspirin,Drug
34414301,aspirin,Drug
34414300,aspirin,Drug
34414299,aspirin,Drug
34414293,aspirin,Drug
34414020,aspirin,Drug
34411924,aspirin,Drug
34411158,aspirin,Drug
34410560,aspirin,Drug
34410542,aspirin,Drug
34410528,aspirin,Drug
34408787,aspirin,Drug
34408378,aspirin,Drug
34407783,aspirin,Drug
34407354,aspirin,Drug
34407353,aspirin,Drug
34407352,aspirin,Drug
34407351,aspirin,Drug
34405381,aspirin,Drug
34405339,aspirin,Drug
34404237,aspirin,Drug
34403819,aspirin,Drug
34403399,aspirin,Drug
34403016,aspirin,Drug
34401469,aspirin,Drug
34401468,aspirin,Drug
34400938,aspirin,Drug
34400936,aspirin,Drug
34400481,aspirin,Drug
34399713,aspirin,Drug
34398969,aspirin,Drug
34398493,aspirin,Drug
34397693,aspirin,Drug
34397526,aspirin,Drug
34396883,aspirin,Drug
34396516,aspirin,Drug
34395115,aspirin,Drug
34395057,aspirin,Drug
34394831,aspirin,Drug
34394007,aspirin,Drug
34393535,aspirin,Drug
34393436,aspirin,Drug
34393085,aspirin,Drug
34392238,aspirin,Drug
34390384,aspirin,Drug
34389629,aspirin,Drug
34389570,aspirin,Drug
34389292,aspirin,Drug
34388843,aspirin,Drug
34387326,aspirin,Drug
34386594,aspirin,Drug
34386543,aspirin,Drug
34384858,aspirin,Drug
34384631,aspirin,Drug
34384617,aspirin,Drug
34384383,aspirin,Drug
34384351,aspirin,Drug
34384321,aspirin,Drug
34383728,aspirin,Drug
34382434,aspirin,Drug
34380322,aspirin,Drug
34377702,aspirin,Drug
34377596,aspirin,Drug
34377330,aspirin,Drug
34376444,aspirin,Drug
34376069,aspirin,Drug
34374713,aspirin,Drug
34373584,aspirin,Drug
34371082,aspirin,Drug
34370832,aspirin,Drug
34369077,aspirin,Drug
34368030,aspirin,Drug
34367812,aspirin,Drug
34367501,aspirin,Drug
34367302,aspirin,Drug
34366403,aspirin,Drug
34366274,aspirin,Drug
34366189,aspirin,Drug
34364908,aspirin,Drug
34364539,aspirin,Drug
34364538,aspirin,Drug
34363554,aspirin,Drug
34363310,aspirin,Drug
34358114,aspirin,Drug
34357562,aspirin,Drug
34357557,aspirin,Drug
34356987,aspirin,Drug
34356646,aspirin,Drug
34355558,aspirin,Drug
34355511,aspirin,Drug
34355129,aspirin,Drug
34354417,aspirin,Drug
34353601,aspirin,Drug
34352631,aspirin,Drug
34352109,aspirin,Drug
34350898,aspirin,Drug
34350617,aspirin,Drug
34350301,aspirin,Drug
34350146,aspirin,Drug
34350107,aspirin,Drug
34350001,aspirin,Drug
34349047,aspirin,Drug
34348657,aspirin,Drug
34347244,aspirin,Drug
34346460,aspirin,Drug
34346174,aspirin,Drug
34345443,aspirin,Drug
34345165,aspirin,Drug
34344494,aspirin,Drug
34344316,aspirin,Drug
34343488,aspirin,Drug
34341098,aspirin,Drug
34340995,aspirin,Drug
34339764,aspirin,Drug
34338759,aspirin,Drug
34337612,aspirin,Drug
34337116,aspirin,Drug
34336743,aspirin,Drug
34335822,aspirin,Drug
34334727,aspirin,Drug
34334142,aspirin,Drug
34332946,aspirin,Drug
34332942,aspirin,Drug
34331551,aspirin,Drug
34331110,aspirin,Drug
34330647,aspirin,Drug
34330595,aspirin,Drug
34329789,aspirin,Drug
34329734,aspirin,Drug
34328635,aspirin,Drug
34327476,aspirin,Drug
34327463,aspirin,Drug
34327200,aspirin,Drug
34326975,aspirin,Drug
34326051,aspirin,Drug
34323179,aspirin,Drug
34322529,aspirin,Drug
34322355,aspirin,Drug
34321909,aspirin,Drug
34321335,aspirin,Drug
34321291,aspirin,Drug
34319638,aspirin,Drug
34319491,aspirin,Drug
34316020,aspirin,Drug
34315990,aspirin,Drug
34315938,aspirin,Drug
34314517,aspirin,Drug
34313959,aspirin,Drug
34312301,aspirin,Drug
34312268,aspirin,Drug
34312135,aspirin,Drug
