Search__ID,Search_Type,PMID,PUB_YEAR,PROJECT_NUMBER,FY_Start,FY_Last,APY,ACTUAL_PROJECT_YEAR,APY_COST_inf2018,Activity_Code,Institute_Code,Acronym_institute_name,full_institute_name,Compressed Names,Project_Count
(androgen receptor) AND (1980:2020 [pdat]),target,24367647,2013,U42RR015087,2000,2011,2011,2011U42RR015087,1535928,U42,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
(androgen receptor) AND (1980:2020 [pdat]),target,18948405,2009,U54RR019234,2003,2009,2009,2009U54RR019234,556126,U54,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
(androgen receptor) AND (1980:2020 [pdat]),target,16210377,2006,G12RR003026,1999,2004,2004,2004G12RR003026,4483789,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,4
(androgen receptor) AND (1980:2020 [pdat]),target,15976054,2005,G12RR003026,1999,2004,2004,2004G12RR003026,4483789,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,4
(androgen receptor) AND (1980:2020 [pdat]),target,15522925,2005,G12RR003026,1999,2004,2004,2004G12RR003026,4483789,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,4
(androgen receptor) AND (1980:2020 [pdat]),target,15472231,2004,G12RR003026,1999,2004,2004,2004G12RR003026,4483789,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,4
(androgen receptor) AND (1980:2020 [pdat]),target,15522925,2005,P20RR011145,1999,2009,2005,2005P20RR011145,3725091,P20,RR,NCRR,National Center for Research Resources,National Center for Research Resources,3
(androgen receptor) AND (1980:2020 [pdat]),target,15472231,2004,P20RR011145,1999,2009,2004,2004P20RR011145,3311123,P20,RR,NCRR,National Center for Research Resources,National Center for Research Resources,4
(androgen receptor) AND (1980:2020 [pdat]),target,15472231,2004,U54RR014616,1999,2009,2004,2004U54RR014616,4480508,U54,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
(androgen receptor) AND (1980:2020 [pdat]),target,12960001,2003,G12RR003026,1999,2004,2003,2003G12RR003026,4610479,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,1
(androgen receptor) AND (1980:2020 [pdat]),target,12517741,2003,G12RR003026,1999,2004,2003,2003G12RR003026,4610479,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,1
(androgen receptor) AND (1980:2020 [pdat]),target,12960001,2003,P20RR011145,1999,2009,2003,2003P20RR011145,3008798,P20,RR,NCRR,National Center for Research Resources,National Center for Research Resources,1
(androgen receptor) AND (1980:2020 [pdat]),target,12517741,2003,P20RR011145,1999,2009,2003,2003P20RR011145,3008798,P20,RR,NCRR,National Center for Research Resources,National Center for Research Resources,1
(androgen receptor) AND (1980:2020 [pdat]),target,12960001,2003,U54RR014616,1999,2009,2003,2003U54RR014616,2384621,U54,RR,NCRR,National Center for Research Resources,National Center for Research Resources,1
(androgen receptor) AND (1980:2020 [pdat]),target,11701425,2001,G12RR003026,1999,2004,2001,2001G12RR003026,4558233,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
(androgen receptor) AND (1980:2020 [pdat]),target,11701425,2001,P20RR011145,1999,2009,2001,2001P20RR011145,3412159,P20,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
(androgen receptor) AND (1980:2020 [pdat]),target,23027641,2012,G12RR003034,1999,2011,2011,2011G12RR003034,2957496,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,3
(androgen receptor) AND (1980:2020 [pdat]),target,24009409,2012,G12RR003034,1999,2011,2011,2011G12RR003034,2957496,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,3
(androgen receptor) AND (1980:2020 [pdat]),target,21710544,2011,G12RR003034,1999,2011,2011,2011G12RR003034,2957496,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,3
(androgen receptor) AND (1980:2020 [pdat]),target,21645150,2011,G12RR003034,1999,2011,2011,2011G12RR003034,2957496,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,3
(androgen receptor) AND (1980:2020 [pdat]),target,17945359,2008,G12RR003037,1999,2011,2008,2008G12RR003037,3960738,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
(androgen receptor) AND (1980:2020 [pdat]),target,20606036,2010,G12RR003048,1999,2011,2010,2010G12RR003048,3142527,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
(androgen receptor) AND (1980:2020 [pdat]),target,16814373,2006,G12RR003051,1999,2011,2006,2006G12RR003051,3408174,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
(androgen receptor) AND (1980:2020 [pdat]),target,16814373,2006,P20RR015565,2000,2004,2004,2004P20RR015565,2181253,P20,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
(androgen receptor) AND (1980:2020 [pdat]),target,16814373,2006,P20RR016470,2001,2011,2006,2006P20RR016470,5404742,P20,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
(androgen receptor) AND (1980:2020 [pdat]),target,23901944,2013,G12RR003059,1999,2011,2011,2011G12RR003059,1752670,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
(androgen receptor) AND (1980:2020 [pdat]),target,22976277,2012,G12RR003059,1999,2011,2011,2011G12RR003059,1752670,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
(androgen receptor) AND (1980:2020 [pdat]),target,22150386,2012,G12RR003059,1999,2011,2011,2011G12RR003059,1752670,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
(androgen receptor) AND (1980:2020 [pdat]),target,21042716,2010,G12RR003059,1999,2011,2010,2010G12RR003059,1973870,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
(androgen receptor) AND (1980:2020 [pdat]),target,17660230,2007,G12RR003059,1999,2011,2007,2007G12RR003059,1660666,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
(androgen receptor) AND (1980:2020 [pdat]),target,15352255,2004,G12RR003059,1999,2011,2004,2004G12RR003059,694778,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
(androgen receptor) AND (1980:2020 [pdat]),target,25421658,2015,G12RR003062,1999,2011,2011,2011G12RR003062,1841608,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
(androgen receptor) AND (1980:2020 [pdat]),target,25327819,2015,G12RR003062,1999,2011,2011,2011G12RR003062,1841608,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
(androgen receptor) AND (1980:2020 [pdat]),target,24921661,2014,G12RR003062,1999,2011,2011,2011G12RR003062,1841608,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
(androgen receptor) AND (1980:2020 [pdat]),target,24122992,2013,G12RR003062,1999,2011,2011,2011G12RR003062,1841608,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
(androgen receptor) AND (1980:2020 [pdat]),target,24004176,2013,G12RR003062,1999,2011,2011,2011G12RR003062,1841608,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
(androgen receptor) AND (1980:2020 [pdat]),target,23786676,2013,G12RR003062,1999,2011,2011,2011G12RR003062,1841608,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
(androgen receptor) AND (1980:2020 [pdat]),target,23266674,2013,G12RR003062,1999,2011,2011,2011G12RR003062,1841608,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
(androgen receptor) AND (1980:2020 [pdat]),target,22936789,2012,G12RR003062,1999,2011,2011,2011G12RR003062,1841608,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
(androgen receptor) AND (1980:2020 [pdat]),target,21076047,2011,G12RR003062,1999,2011,2011,2011G12RR003062,1841608,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
(androgen receptor) AND (1980:2020 [pdat]),target,20186495,2010,G12RR003062,1999,2011,2010,2010G12RR003062,2263503,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
(androgen receptor) AND (1980:2020 [pdat]),target,20166136,2010,G12RR003062,1999,2011,2010,2010G12RR003062,2263503,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
(androgen receptor) AND (1980:2020 [pdat]),target,19500415,2009,G12RR003062,1999,2011,2009,2009G12RR003062,2444946,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,3
(androgen receptor) AND (1980:2020 [pdat]),target,18782595,2008,G12RR003062,1999,2011,2008,2008G12RR003062,1836662,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
(androgen receptor) AND (1980:2020 [pdat]),target,15353178,2004,G12RR003062,1999,2011,2004,2004G12RR003062,3047272,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
(androgen receptor) AND (1980:2020 [pdat]),target,15336712,2004,G12RR003062,1999,2011,2004,2004G12RR003062,3047272,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
(androgen receptor) AND (1980:2020 [pdat]),target,11785654,2001,G12RR003062,1999,2011,2001,2001G12RR003062,2220239,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
(androgen receptor) AND (1980:2020 [pdat]),target,24753260,2014,G12RR008124,1999,2011,2011,2011G12RR008124,3367893,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
(androgen receptor) AND (1980:2020 [pdat]),target,24523409,2014,G12RR008124,1999,2011,2011,2011G12RR008124,3367893,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
(androgen receptor) AND (1980:2020 [pdat]),target,21730179,2011,G12RR008124,1999,2011,2011,2011G12RR008124,3367893,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
(androgen receptor) AND (1980:2020 [pdat]),target,21511531,2011,G12RR008124,1999,2011,2011,2011G12RR008124,3367893,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
(androgen receptor) AND (1980:2020 [pdat]),target,21378414,2011,G12RR008124,1999,2011,2011,2011G12RR008124,3367893,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
(androgen receptor) AND (1980:2020 [pdat]),target,20210997,2010,G12RR008124,1999,2011,2010,2010G12RR008124,3074873,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
(androgen receptor) AND (1980:2020 [pdat]),target,19117143,2009,G12RR008124,1999,2011,2009,2009G12RR008124,3282413,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,3
(androgen receptor) AND (1980:2020 [pdat]),target,27226742,2015,G12RR013459,1999,2011,2011,2011G12RR013459,1853964,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
(androgen receptor) AND (1980:2020 [pdat]),target,24241261,2013,G12RR013459,1999,2011,2011,2011G12RR013459,1853964,G12,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
(androgen receptor) AND (1980:2020 [pdat]),target,17335823,2007,P51RR000165,1999,2011,2007,2007P51RR000165,15661480,P51,RR,NCRR,National Center for Research Resources,National Center for Research Resources,4
(androgen receptor) AND (1980:2020 [pdat]),target,16112492,2006,P51RR000165,1999,2011,2006,2006P51RR000165,15330070,P51,RR,NCRR,National Center for Research Resources,National Center for Research Resources,3
(androgen receptor) AND (1980:2020 [pdat]),target,15625235,2005,P51RR000165,1999,2011,2005,2005P51RR000165,15467603,P51,RR,NCRR,National Center for Research Resources,National Center for Research Resources,3
(androgen receptor) AND (1980:2020 [pdat]),target,12799175,2003,P51RR000165,1999,2011,2003,2003P51RR000165,16369990,P51,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
(androgen receptor) AND (1980:2020 [pdat]),target,10870968,2000,P41RR011823,1999,2011,2000,2000P41RR011823,2331088,P41,RR,NCRR,National Center for Research Resources,National Center for Research Resources,2
(androgen receptor) AND (1980:2020 [pdat]),target,10599737,1999,M01RR001271,1999,2006,1999,1999M01RR001271,0,M01,RR,NCRR,National Center for Research Resources,National Center for Research Resources,1
