Search__ID,Source_Search_Type,Search_Type,PMID,PUB_YEAR,PROJECT_NUMBER,FY_Start,FY_Last,APY,ACTUAL_PROJECT_YEAR,APY_COST_inf2018,Activity_Code,Institute_Code,Acronym_institute_name,full_institute_name,Compressed Names,Project_Count,Grant_Type_Name
Pasireotide,Drug,Drug,27429029.0,2017.0,P30CA008748,1999.0,2021.0,2017.0,2017P30CA008748,13442482.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5.0,Research Program Projects and Centers
(androgen receptor) AND (1980:2020 [pdat]),target,Drug,28146470.0,2017.0,P30CA008748,1999.0,2021.0,2017.0,2017P30CA008748,13442482.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5.0,Research Program Projects and Centers
(androgen receptor) AND (1980:2020 [pdat]),target,Drug,28059768.0,2017.0,P30CA008748,1999.0,2021.0,2017.0,2017P30CA008748,13442482.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5.0,Research Program Projects and Centers
(androgen receptor) AND (1980:2020 [pdat]),target,Drug,27489290.0,2017.0,P30CA008748,1999.0,2021.0,2017.0,2017P30CA008748,13442482.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5.0,Research Program Projects and Centers
(androgen receptor) AND (1980:2020 [pdat]),target,Drug,29153843.0,2017.0,P30CA008748,1999.0,2021.0,2017.0,2017P30CA008748,13442482.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5.0,Research Program Projects and Centers
(androgen receptor) AND (1980:2020 [pdat]),target,Drug,29035540.0,2017.0,P30CA008748,1999.0,2021.0,2017.0,2017P30CA008748,13442482.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5.0,Research Program Projects and Centers
(androgen receptor) AND (1980:2020 [pdat]),target,Drug,28891793.0,2017.0,P30CA008748,1999.0,2021.0,2017.0,2017P30CA008748,13442482.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5.0,Research Program Projects and Centers
(androgen receptor) AND (1980:2020 [pdat]),target,Drug,28886115.0,2017.0,P30CA008748,1999.0,2021.0,2017.0,2017P30CA008748,13442482.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5.0,Research Program Projects and Centers
(androgen receptor) AND (1980:2020 [pdat]),target,Drug,28842510.0,2017.0,P30CA008748,1999.0,2021.0,2017.0,2017P30CA008748,13442482.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5.0,Research Program Projects and Centers
(androgen receptor) AND (1980:2020 [pdat]),target,Drug,28819021.0,2017.0,P30CA008748,1999.0,2021.0,2017.0,2017P30CA008748,13442482.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5.0,Research Program Projects and Centers
(androgen receptor) AND (1980:2020 [pdat]),target,Drug,28633425.0,2017.0,P30CA008748,1999.0,2021.0,2017.0,2017P30CA008748,13442482.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5.0,Research Program Projects and Centers
(androgen receptor) AND (1980:2020 [pdat]),target,Drug,28614298.0,2017.0,P30CA008748,1999.0,2021.0,2017.0,2017P30CA008748,13442482.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5.0,Research Program Projects and Centers
(androgen receptor) AND (1980:2020 [pdat]),target,Drug,28406524.0,2017.0,P30CA008748,1999.0,2021.0,2017.0,2017P30CA008748,13442482.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5.0,Research Program Projects and Centers
