Grant_Type_Name,Activity_Code
Research Construction Programs,C06
Institutional Training and Director Program Projects,D43
Institutional Training and Director Program Projects,D71
Institutional Training and Director Program Projects,DP1
Institutional Training and Director Program Projects,DP2
Institutional Training and Director Program Projects,DP3
Institutional Training and Director Program Projects,DP4
Institutional Training and Director Program Projects,DP5
Institutional Training and Director Program Projects,DP7
Health Professions Programs,E11
Fellowship Programs,F05
Fellowship Programs,F30
Fellowship Programs,F31
Fellowship Programs,F32
Fellowship Programs,F33
Fellowship Programs,F37
Fellowship Programs,F38
Fellowship Programs,F99
Fellowship Programs,FI2
Resource Programs,G07
Resource Programs,G08
Resource Programs,G11
Resource Programs,G12
Resource Programs,G13
Resource Programs,G20
Resource Programs,G94
Community Services Program,H13
Community Services Program,H23
Community Services Program,H25
Community Services Program,H28
Community Services Program,H50
Community Services Program,H57
Community Services Program,H62
Community Services Program,H64
Community Services Program,H75
Community Services Program,H79
Community Services Program,HD4
Non-HHS Federal Awards,I01
Research Projects,I80
Non-DHHS Federal Awards,IK3
Research Career Programs,K00
Research Career Programs,K01
Research Career Programs,K02
Research Career Programs,K05
Research Career Programs,K06
Research Career Programs,K07
Research Career Programs,K08
Research Career Programs,K12
Research Career Programs,K14
Research Career Programs,K18
Research Career Programs,K21
Research Career Programs,K22
Research Career Programs,K23
Research Career Programs,K24
Research Career Programs,K25
Research Career Programs,K26
Research Career Programs,K30
Research Career Programs,K38
Research Career Programs,K43
Research Career Programs,K76
Research Career Programs,K99
Research Career Programs,KD1
Research Career Programs,KL1
Research Career Programs,KL2
Research Career Programs,KM1
Research Career Programs,L30
Research Career Programs,L32
Research Career Programs,L40
Research Career Programs,L50
Research Career Programs,L60
General Clinical Research Centers Program,M01
Other Transactions,OT1
Other Transactions,OT2
Other Transactions,OT3
Research Program Projects and Centers,P01
Research Program Projects and Centers,P20
Research Program Projects and Centers,P2C
Research Program Projects and Centers,P30
Research Program Projects and Centers,P40
Research Program Projects and Centers,P41
Research Program Projects and Centers,P42
Research Program Projects and Centers,P50
Research Program Projects and Centers,P51
Research Program Projects and Centers,P60
Research Program Projects and Centers,PL1
Research Program Projects and Centers,PM1
Research Program Projects and Centers,PN1
Research Program Projects and Centers,PN2
Research Projects,R00
Research Projects,R01
Research Projects,R03
Research Projects,R13
Research Projects,R15
Research Projects,R18
Research Projects,R21
Research Projects,R24
Research Projects,R25
Research Projects,R28
Research Projects,R30
Research Projects,R33
Research Projects,R34
Research Projects,R35
Research Projects,R36
Research Projects,R37
Research Projects,R38
Research Projects,R41
Research Projects,R42
Research Projects,R43
Research Projects,R44
Research Projects,R49
